Verb,Tense,Pronoun,ConjugatedVerb
To be,Present (simple),I ,am
To be,Present (simple),you ,are
To be,Present (simple),he ,is
To be,Present (simple),we ,are
To be,Present (simple),you ,are
To be,Present (simple),they ,are
To be,Present progressive / continuous,I am ,being
To be,Present progressive / continuous,you are ,being
To be,Present progressive / continuous,he is ,being
To be,Present progressive / continuous,we are ,being
To be,Present progressive / continuous,you are ,being
To be,Present progressive / continuous,they are ,being
To be,Past (simple),I ,was
To be,Past (simple),you ,were
To be,Past (simple),he ,was
To be,Past (simple),we ,were
To be,Past (simple),you ,were
To be,Past (simple),they ,were
To be,Past progressive / continuous,I was ,being
To be,Past progressive / continuous,you were ,being
To be,Past progressive / continuous,he was ,being
To be,Past progressive / continuous,we were ,being
To be,Past progressive / continuous,you were ,being
To be,Past progressive / continuous,they were ,being
To be,Present perfect (simple),I have ,been
To be,Present perfect (simple),you have ,been
To be,Present perfect (simple),he has ,been
To be,Present perfect (simple),we have ,been
To be,Present perfect (simple),you have ,been
To be,Present perfect (simple),they have ,been
To be,Present perfect progressive / continuous,I have been ,being
To be,Present perfect progressive / continuous,you have been ,being
To be,Present perfect progressive / continuous,he has been ,being
To be,Present perfect progressive / continuous,we have been ,being
To be,Present perfect progressive / continuous,you have been ,being
To be,Present perfect progressive / continuous,they have been ,being
To be,Past perfect,I had ,been
To be,Past perfect,you had ,been
To be,Past perfect,he had ,been
To be,Past perfect,we had ,been
To be,Past perfect,you had ,been
To be,Past perfect,they had ,been
To be,Past perfect progressive / continuous,I had been ,being
To be,Past perfect progressive / continuous,you had been ,being
To be,Past perfect progressive / continuous,he had been ,being
To be,Past perfect progressive / continuous,we had been ,being
To be,Past perfect progressive / continuous,you had been ,being
To be,Past perfect progressive / continuous,they had been ,being
To be,Future,I will ,be
To be,Future,you will ,be
To be,Future,he will ,be
To be,Future,we will ,be
To be,Future,you will ,be
To be,Future,they will ,be
To be,Future progressive / continuous,I will be ,being
To be,Future progressive / continuous,you will be ,being
To be,Future progressive / continuous,he will be ,being
To be,Future progressive / continuous,we will be ,being
To be,Future progressive / continuous,you will be ,being
To be,Future progressive / continuous,they will be ,being
To be,Future perfect,I will have ,been
To be,Future perfect,you will have ,been
To be,Future perfect,he will have ,been
To be,Future perfect,we will have ,been
To be,Future perfect,you will have ,been
To be,Future perfect,they will have ,been
To be,Future perfect continuous,I will have been ,being
To be,Future perfect continuous,you will have been ,being
To be,Future perfect continuous,he will have been ,being
To be,Future perfect continuous,we will have been ,being
To be,Future perfect continuous,you will have been ,being
To be,Future perfect continuous,they will have been ,being
to do,Present (simple),I ,do
to do,Present (simple),you ,do
to do,Present (simple),he ,does
to do,Present (simple),we ,do
to do,Present (simple),you ,do
to do,Present (simple),they ,do
to do,Present progressive / continuous,I am ,doing
to do,Present progressive / continuous,you are ,doing
to do,Present progressive / continuous,he is ,doing
to do,Present progressive / continuous,we are ,doing
to do,Present progressive / continuous,you are ,doing
to do,Present progressive / continuous,they are ,doing
to do,Past (simple),I ,did
to do,Past (simple),you ,did
to do,Past (simple),he ,did
to do,Past (simple),we ,did
to do,Past (simple),you ,did
to do,Past (simple),they ,did
to do,Past progressive / continuous,I was ,doing
to do,Past progressive / continuous,you were ,doing
to do,Past progressive / continuous,he was ,doing
to do,Past progressive / continuous,we were ,doing
to do,Past progressive / continuous,you were ,doing
to do,Past progressive / continuous,they were ,doing
to do,Present perfect (simple),I have ,done
to do,Present perfect (simple),you have ,done
to do,Present perfect (simple),he has ,done
to do,Present perfect (simple),we have ,done
to do,Present perfect (simple),you have ,done
to do,Present perfect (simple),they have ,done
to do,Present perfect progressive / continuous,I have been ,doing
to do,Present perfect progressive / continuous,you have been ,doing
to do,Present perfect progressive / continuous,he has been ,doing
to do,Present perfect progressive / continuous,we have been ,doing
to do,Present perfect progressive / continuous,you have been ,doing
to do,Present perfect progressive / continuous,they have been ,doing
to do,Past perfect,I had ,done
to do,Past perfect,you had ,done
to do,Past perfect,he had ,done
to do,Past perfect,we had ,done
to do,Past perfect,you had ,done
to do,Past perfect,they had ,done
to do,Past perfect progressive / continuous,I had been ,doing
to do,Past perfect progressive / continuous,you had been ,doing
to do,Past perfect progressive / continuous,he had been ,doing
to do,Past perfect progressive / continuous,we had been ,doing
to do,Past perfect progressive / continuous,you had been ,doing
to do,Past perfect progressive / continuous,they had been ,doing
to do,Future,I will ,do
to do,Future,you will ,do
to do,Future,he will ,do
to do,Future,we will ,do
to do,Future,you will ,do
to do,Future,they will ,do
to do,Future progressive / continuous,I will be ,doing
to do,Future progressive / continuous,you will be ,doing
to do,Future progressive / continuous,he will be ,doing
to do,Future progressive / continuous,we will be ,doing
to do,Future progressive / continuous,you will be ,doing
to do,Future progressive / continuous,they will be ,doing
to do,Future perfect,I will have ,done
to do,Future perfect,you will have ,done
to do,Future perfect,he will have ,done
to do,Future perfect,we will have ,done
to do,Future perfect,you will have ,done
to do,Future perfect,they will have ,done
to do,Future perfect continuous,I will have been ,doing
to do,Future perfect continuous,you will have been ,doing
to do,Future perfect continuous,he will have been ,doing
to do,Future perfect continuous,we will have been ,doing
to do,Future perfect continuous,you will have been ,doing
to do,Future perfect continuous,they will have been ,doing
to have,Present (simple),I ,have
to have,Present (simple),you ,have
to have,Present (simple),he ,has
to have,Present (simple),we ,have
to have,Present (simple),you ,have
to have,Present (simple),they ,have
to have,Present progressive / continuous,I am ,having
to have,Present progressive / continuous,you are ,having
to have,Present progressive / continuous,he is ,having
to have,Present progressive / continuous,we are ,having
to have,Present progressive / continuous,you are ,having
to have,Present progressive / continuous,they are ,having
to have,Past (simple),I ,had
to have,Past (simple),you ,had
to have,Past (simple),he ,had
to have,Past (simple),we ,had
to have,Past (simple),you ,had
to have,Past (simple),they ,had
to have,Past progressive / continuous,I was ,having
to have,Past progressive / continuous,you were ,having
to have,Past progressive / continuous,he was ,having
to have,Past progressive / continuous,we were ,having
to have,Past progressive / continuous,you were ,having
to have,Past progressive / continuous,they were ,having
to have,Present perfect (simple),I have ,had
to have,Present perfect (simple),you have ,had
to have,Present perfect (simple),he has ,had
to have,Present perfect (simple),we have ,had
to have,Present perfect (simple),you have ,had
to have,Present perfect (simple),they have ,had
to have,Present perfect progressive / continuous,I have been ,having
to have,Present perfect progressive / continuous,you have been ,having
to have,Present perfect progressive / continuous,he has been ,having
to have,Present perfect progressive / continuous,we have been ,having
to have,Present perfect progressive / continuous,you have been ,having
to have,Present perfect progressive / continuous,they have been ,having
to have,Past perfect,I had ,had
to have,Past perfect,you had ,had
to have,Past perfect,he had ,had
to have,Past perfect,we had ,had
to have,Past perfect,you had ,had
to have,Past perfect,they had ,had
to have,Past perfect progressive / continuous,I had been ,having
to have,Past perfect progressive / continuous,you had been ,having
to have,Past perfect progressive / continuous,he had been ,having
to have,Past perfect progressive / continuous,we had been ,having
to have,Past perfect progressive / continuous,you had been ,having
to have,Past perfect progressive / continuous,they had been ,having
to have,Future,I will ,have
to have,Future,you will ,have
to have,Future,he will ,have
to have,Future,we will ,have
to have,Future,you will ,have
to have,Future,they will ,have
to have,Future progressive / continuous,I will be ,having
to have,Future progressive / continuous,you will be ,having
to have,Future progressive / continuous,he will be ,having
to have,Future progressive / continuous,we will be ,having
to have,Future progressive / continuous,you will be ,having
to have,Future progressive / continuous,they will be ,having
to have,Future perfect,I will have ,had
to have,Future perfect,you will have ,had
to have,Future perfect,he will have ,had
to have,Future perfect,we will have ,had
to have,Future perfect,you will have ,had
to have,Future perfect,they will have ,had
to have,Future perfect continuous,I will have been ,having
to have,Future perfect continuous,you will have been ,having
to have,Future perfect continuous,he will have been ,having
to have,Future perfect continuous,we will have been ,having
to have,Future perfect continuous,you will have been ,having
to have,Future perfect continuous,they will have been ,having
to go,Present (simple),I ,go
to go,Present (simple),you ,go
to go,Present (simple),he ,goes
to go,Present (simple),we ,go
to go,Present (simple),you ,go
to go,Present (simple),they ,go
to go,Present progressive / continuous,I am ,going
to go,Present progressive / continuous,you are ,going
to go,Present progressive / continuous,he is ,going
to go,Present progressive / continuous,we are ,going
to go,Present progressive / continuous,you are ,going
to go,Present progressive / continuous,they are ,going
to go,Past (simple),I ,went
to go,Past (simple),you ,went
to go,Past (simple),he ,went
to go,Past (simple),we ,went
to go,Past (simple),you ,went
to go,Past (simple),they ,went
to go,Past progressive / continuous,I was ,going
to go,Past progressive / continuous,you were ,going
to go,Past progressive / continuous,he was ,going
to go,Past progressive / continuous,we were ,going
to go,Past progressive / continuous,you were ,going
to go,Past progressive / continuous,they were ,going
to go,Present perfect (simple),I have ,gone
to go,Present perfect (simple),you have ,gone
to go,Present perfect (simple),he has ,gone
to go,Present perfect (simple),we have ,gone
to go,Present perfect (simple),you have ,gone
to go,Present perfect (simple),they have ,gone
to go,Present perfect progressive / continuous,I have been ,going
to go,Present perfect progressive / continuous,you have been ,going
to go,Present perfect progressive / continuous,he has been ,going
to go,Present perfect progressive / continuous,we have been ,going
to go,Present perfect progressive / continuous,you have been ,going
to go,Present perfect progressive / continuous,they have been ,going
to go,Past perfect,I had ,gone
to go,Past perfect,you had ,gone
to go,Past perfect,he had ,gone
to go,Past perfect,we had ,gone
to go,Past perfect,you had ,gone
to go,Past perfect,they had ,gone
to go,Past perfect progressive / continuous,I had been ,going
to go,Past perfect progressive / continuous,you had been ,going
to go,Past perfect progressive / continuous,he had been ,going
to go,Past perfect progressive / continuous,we had been ,going
to go,Past perfect progressive / continuous,you had been ,going
to go,Past perfect progressive / continuous,they had been ,going
to go,Future,I will ,go
to go,Future,you will ,go
to go,Future,he will ,go
to go,Future,we will ,go
to go,Future,you will ,go
to go,Future,they will ,go
to go,Future progressive / continuous,I will be ,going
to go,Future progressive / continuous,you will be ,going
to go,Future progressive / continuous,he will be ,going
to go,Future progressive / continuous,we will be ,going
to go,Future progressive / continuous,you will be ,going
to go,Future progressive / continuous,they will be ,going
to go,Future perfect,I will have ,gone
to go,Future perfect,you will have ,gone
to go,Future perfect,he will have ,gone
to go,Future perfect,we will have ,gone
to go,Future perfect,you will have ,gone
to go,Future perfect,they will have ,gone
to go,Future perfect continuous,I will have been ,going
to go,Future perfect continuous,you will have been ,going
to go,Future perfect continuous,he will have been ,going
to go,Future perfect continuous,we will have been ,going
to go,Future perfect continuous,you will have been ,going
to go,Future perfect continuous,they will have been ,going
to come,Present (simple),I ,come
to come,Present (simple),you ,come
to come,Present (simple),he ,comes
to come,Present (simple),we ,come
to come,Present (simple),you ,come
to come,Present (simple),they ,come
to come,Present progressive / continuous,I am ,coming
to come,Present progressive / continuous,you are ,coming
to come,Present progressive / continuous,he is ,coming
to come,Present progressive / continuous,we are ,coming
to come,Present progressive / continuous,you are ,coming
to come,Present progressive / continuous,they are ,coming
to come,Past (simple),I ,came
to come,Past (simple),you ,came
to come,Past (simple),he ,came
to come,Past (simple),we ,came
to come,Past (simple),you ,came
to come,Past (simple),they ,came
to come,Past progressive / continuous,I was ,coming
to come,Past progressive / continuous,you were ,coming
to come,Past progressive / continuous,he was ,coming
to come,Past progressive / continuous,we were ,coming
to come,Past progressive / continuous,you were ,coming
to come,Past progressive / continuous,they were ,coming
to come,Present perfect (simple),I have ,come
to come,Present perfect (simple),you have ,come
to come,Present perfect (simple),he has ,come
to come,Present perfect (simple),we have ,come
to come,Present perfect (simple),you have ,come
to come,Present perfect (simple),they have ,come
to come,Present perfect progressive / continuous,I have been ,coming
to come,Present perfect progressive / continuous,you have been ,coming
to come,Present perfect progressive / continuous,he has been ,coming
to come,Present perfect progressive / continuous,we have been ,coming
to come,Present perfect progressive / continuous,you have been ,coming
to come,Present perfect progressive / continuous,they have been ,coming
to come,Past perfect,I had ,come
to come,Past perfect,you had ,come
to come,Past perfect,he had ,come
to come,Past perfect,we had ,come
to come,Past perfect,you had ,come
to come,Past perfect,they had ,come
to come,Past perfect progressive / continuous,I had been ,coming
to come,Past perfect progressive / continuous,you had been ,coming
to come,Past perfect progressive / continuous,he had been ,coming
to come,Past perfect progressive / continuous,we had been ,coming
to come,Past perfect progressive / continuous,you had been ,coming
to come,Past perfect progressive / continuous,they had been ,coming
to come,Future,I will ,come
to come,Future,you will ,come
to come,Future,he will ,come
