Verb,Tense,Pronoun,ConjugatedVerb
Être,Présent,je ,suis
Être,Présent,tu ,es
Être,Présent,il ,est
Être,Présent,nous ,sommes
Être,Présent,vous ,êtes
Être,Présent,ils ,sont
Être,Passé composé,j'ai ,été
Être,Passé composé,tu as ,été
Être,Passé composé,il a ,été
Être,Passé composé,nous avons ,été
Être,Passé composé,vous avez ,été
Être,Passé composé,ils ont ,été
Être,Imparfait,j',étais
Être,Imparfait,tu ,étais
Être,Imparfait,il ,était
Être,Imparfait,nous ,étions
Être,Imparfait,vous ,étiez
Être,Imparfait,ils ,étaient
Être,Plus-que-parfait,j'avais ,été
Être,Plus-que-parfait,tu avais ,été
Être,Plus-que-parfait,il avait ,été
Être,Plus-que-parfait,nous avions ,été
Être,Plus-que-parfait,vous aviez ,été
Être,Plus-que-parfait,ils avaient ,été
Être,Passé simple,je ,fus
Être,Passé simple,tu ,fus
Être,Passé simple,il ,fut
Être,Passé simple,nous ,fûmes
Être,Passé simple,vous ,fûtes
Être,Passé simple,ils ,furent
Être,Passé antérieur,j'eus ,été
Être,Passé antérieur,tu eus ,été
Être,Passé antérieur,il eut ,été
Être,Passé antérieur,nous eûmes ,été
Être,Passé antérieur,vous eûtes ,été
Être,Passé antérieur,ils eurent ,été
Être,Futur,je ,serai
Être,Futur,tu ,seras
Être,Futur,il ,sera
Être,Futur,nous ,serons
Être,Futur,vous ,serez
Être,Futur,ils ,seront
Être,Futur antérieur,j'aurai ,été
Être,Futur antérieur,tu auras ,été
Être,Futur antérieur,il aura ,été
Être,Futur antérieur,nous aurons ,été
Être,Futur antérieur,vous aurez ,été
Être,Futur antérieur,ils auront ,été
Être,Futur proche,je vais ,être
Être,Futur proche,tu vas ,être
Être,Futur proche,il va ,être
Être,Futur proche,nous allons ,être
Être,Futur proche,vous allez ,être
Être,Futur proche,ils vont ,être
Avoir,Présent,j',ai
Avoir,Présent,tu ,as
Avoir,Présent,il ,a
Avoir,Présent,nous ,avons
Avoir,Présent,vous ,avez
Avoir,Présent,ils ,ont
Avoir,Passé composé,j'ai ,eu
Avoir,Passé composé,tu as ,eu
Avoir,Passé composé,il a ,eu
